School_Year,School Authority Category,School Authority Name,School Authority Code,School Name,School Code,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
2016_2017,Public,Calgary School District No. 19,3030,Branton School,9621,,,,,,,,259,237,233,,,,729
2017_2018,Public,Calgary School District No. 19,3030,Colonel Macleod School,9620,,,,,,84,94,111,91,104,,,,484
2017_2018,Public,Calgary School District No. 19,3030,Royal Oak School,1519,103,138,120,133,,,,,,,,,,494
2016_2017,Public,Calgary School District No. 19,3030,William Aberhart High School,9829,,,,,,,,,,,460,438,499,1397
2016_2017,Public,Calgary School District No. 19,3030,Woodbine School,9266,65,57,54,60,51,51,42,,,,,,,380
2016_2017,Public,Calgary School District No. 19,3030,Woodlands School,9371,37,44,51,38,46,27,46,,,,,,,289
2017_2018,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Bernadette School,8709,17,17,17,22,19,24,25,,,,,,,141
2017_2018,Public,Calgary School District No. 19,3030,Young Adult Program,9512,,,,,,,,,3,10,9,16,7,45
2016_2017,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Fresh Start Outreach Program,1525,,,,,,,,,,,,1,10,11
2016_2017,Public,Calgary School District No. 19,3030,National Sport School,9830,,,,,,,,,,32,41,46,48,167
2017_2018,Public,Calgary School District No. 19,3030,Copperfield School,2086,123,101,90,106,68,,,,,,,,,488
2016_2017,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Augustine Elementary Junior High School,8708,21,32,34,37,34,34,28,89,71,75,2,,,457
2017_2018,Public,Calgary School District No. 19,3030,Dr. Oakley School,9630,,,,4,36,46,35,20,9,3,,,,153
2016_2017,Public,Calgary School District No. 19,3030,Nellie McClung School,9333,56,72,56,69,56,54,51,,,,,,,414
2016_2017,Private,Aurora Learning Foundation (Calgary),211,Aurora Learning Calgary,1397,,,,,1,5,3,1,,2,2,,1,15
2017_2018,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Andrew School,8508,17,24,22,21,28,25,17,,,,,,,154
2016_2017,Public,Calgary School District No. 19,3030,Dr. Gladys McKelvie Egbert,9350,,,,,,,111,95,102,109,,,,417
2016_2017,Public,Calgary School District No. 19,3030,H. D. Cartwright School,9660,,,,,,,,114,126,138,,,,378
2016_2017,Public,Calgary School District No. 19,3030,Eugene Coste School,9311,59,94,58,45,,,,,,,,,,256
2016_2017,Public,Calgary School District No. 19,3030,Falconridge School,9375,98,77,70,82,62,41,58,,,,,,,488
2016_2017,Public,Calgary School District No. 19,3030,Lord Beaverbrook High School,9850,,,,,,,,,,,535,546,543,1624
2016_2017,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Jerome Elementary School,1340,82,101,107,102,109,100,110,,,,,,,711
2016_2017,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Sebastian Elementary School,1339,70,76,88,93,85,87,92,,,,,,,591
2016_2017,Public,Calgary School District No. 19,3030,Captain John Palliser School,9210,59,91,94,70,81,106,100,,,,,,,601
2016_2017,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Monsignor Neville Anderson School,8554,32,56,44,37,56,36,45,,,,,,,306
2016_2017,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Anne Academic Centre,8906,,,,,2,1,2,3,1,10,143,359,1427,1948
2017_2018,Public,Calgary School District No. 19,3030,Cappy Smart School,9353,21,34,31,23,38,35,13,,,,,,,195
2016_2017,Private,"Maria Montessori Education Centre of Calgary, Ltd.",212,Maria Montessori School,1410,33,25,22,21,13,7,10,2,4,,,,,137
2016_2017,Public,Calgary School District No. 19,3030,Douglas Harkness School,9347,48,35,37,44,44,39,33,,,,,,,280
2016_2017,Public,Calgary School District No. 19,3030,Braeside School,9305,27,37,36,32,33,29,35,,,,,,,229
2016_2017,Private,Access International College (Calgary) Incorporated,178,Access International College (Calgary) Inc.,1271,,,,,,,,,,,2,,,2
2017_2018,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Luke Bilingual Elementary School,8521,53,69,58,68,45,40,45,,,,,,,378
2017_2018,Public,Calgary School District No. 19,3030,Dr. Gordon Higgins School,9346,,,,,,,,167,165,168,,,,500
2016_2017,Public,Calgary School District No. 19,3030,Edgemont School,9379,103,99,93,100,125,100,100,,,,,,,720
2017_2018,Public,Calgary School District No. 19,3030,Westbrook Outreach,1260,,,,,,,,,,,7,27,217,251
2016_2017,Public,Calgary School District No. 19,3030,Glendale School,9143,30,39,35,34,36,30,36,,,,,,,240
2017_2018,Public,Calgary School District No. 19,3030,Deer Run School,9265,57,47,54,50,54,53,43,,,,,,,358
2016_2017,Public,Calgary School District No. 19,3030,Nose Creek School,1674,,,,,148,135,149,154,147,126,,,,859
2017_2018,Public,Calgary School District No. 19,3030,Wilma Hansen School,9685,,,,,,16,9,118,97,96,,,,336
2016_2017,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Monsignor J. J. O'Brien,589,65,72,73,74,85,93,93,120,134,57,74,,,940
2017_2018,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Gregory School,8710,,,,,,,47,130,131,124,,,,432
2017_2018,Public,Calgary School District No. 19,3030,Earl Grey School,9118,22,24,29,40,33,35,32,,,,,,,215
2016_2017,Public,Calgary School District No. 19,3030,Fish Creek School,9384,96,106,108,109,120,89,115,,,,,,,743
2017_2018,Private,Aurora Learning Foundation (Calgary),211,Aurora Learning Calgary,1397,,,,1,1,1,4,3,1,,2,2,,15
2016_2017,Public,Calgary School District No. 19,3030,Children's Village School,9014,3,5,14,7,12,8,10,,,,,,,59
2016_2017,Public,Calgary School District No. 19,3030,Abbeydale School,9376,44,61,49,61,46,42,,,,,,,,303
2017_2018,Public,Calgary School District No. 19,3030,West Dalhousie School,9344,25,47,42,52,64,43,58,,,,,,,331
